swing_no,ball,carry,total,curve,club_speed,ball_speed,smash_factor,spin_rate,attack_angle,club_path,face_to_path,low_point_distance,good_hit
32,softfli,91.3,99,-35,77.4,77.8,1.01,7260,1.4,3.2,,-1.3,N
36,softfli,100.6,110.2,,79.9,82.5,1.03,6690,,,,,N
12,softfli,113.3,121.6,-33,76.6,89.1,1.16,6530,-0.4,4.4,-8.9,0.2,N
33,softfli,115.4,125,-38,78.5,89.9,1.14,6030,1.4,3,-9.5,-1.3,N
21,softfli,120.6,129.6,-58,79.9,93,1.16,5977,-1,5.2,,0.8,N
19,softfli,118.2,130,-17,80.1,90.3,1.13,5320,1.6,1,-4,-1.5,N
14,softfli,126.8,133.7,-46,78.8,96.9,1.23,6570,0,3.6,-9.9,-0.2,N
13,softfli,127.5,137,-22,76.7,95.7,1.25,5770,-0.8,4.4,-4.6,0.6,N
16,softfli,130.3,144.7,57,77.6,98.4,1.27,5140,-1.1,-0.3,11.4,1.3,N
37,softfli,136.8,148.4,3,77.6,99.6,1.28,5110,-0.8,2.2,0.7,0.7,N
17,softfli,141.6,154.3,33,80.5,102.2,1.27,4920,0.2,1.8,5.1,-0.3,N
18,softfli,147.7,157.5,-2,80.2,105.9,1.32,5370,-1.1,3.5,-0.3,1.2,Y
38,softfli,150.6,159.8,-34,79.8,107.8,1.35,5450,-0.8,4,-5,0.7,Y
40,softfli,146.9,159.9,44,78.8,105.4,1.34,4940,-0.8,2,6.7,0.6,Y
20,softfli,151.6,163,-36,79.7,108.6,1.36,5356,-3.8,6.2,-5.9,3.6,Y
41,softfli,154.3,166.2,27,79.6,109.3,1.37,5120,-2.5,3.7,3.7,2.4,Y
34,softfli,157.4,169.9,-18,78.8,110.5,1.4,4924,-3.4,4.8,-2.5,2.9,Y
35,softfli,160,171,-21,81.7,112.6,1.38,5230,-2.6,5.8,-2.7,2.3,Y
15,softfli,161,171.3,-18,81.9,112.5,1.37,5099,-3.9,5.7,-2.4,3.6,Y
39,softfli,159.6,172,-33,78.7,110.8,1.41,4644,-2.4,3.8,-4.6,2.1,Y
5,callaway,45.3,52.9,-19,80.1,56.7,0.71,9880,1,3.6,,-1,N
29,callaway,93.1,107.9,-19,77.8,78.1,1,5040,2.2,-0.04,-7.1,-1.9,N
8,callaway,108.7,115.2,,82.1,87.2,1.06,7490,,,,,N
9,callaway,106.1,123.1,-24,79.5,82.7,1.04,3738,1.8,0.8,-7.7,-1.9,N
1,callaway,101.6,125.7,-1,74.2,82.5,1.11,3033,-0.4,2,-0.3,0.2,N
11,callaway,117.1,132.5,-13,76.7,88.5,1.15,4229,0,4.6,-3.5,-0.1,N
4,callaway,127.8,137.6,-52,75.8,95.7,1.26,5437,0,2.8,-11.5,-0.2,N
6,callaway,130.2,143.9,-1,74.5,99,1.33,5741,-2.6,2.6,-0.2,2.6,Y
28,callaway,135.5,147.5,-42,77.4,98.1,1.27,4658,0.4,3,-8.3,-0.5,N
7,callaway,135.9,149.6,12,76.6,98.7,1.29,4677,-0.4,1.2,1.6,0.4,N
30,callaway,135.1,149.9,10,78.4,100.8,1.29,5256,-4.1,0.3,1.8,4.1,N
2,callaway,136.7,150.9,-2,78.5,99.7,1.27,4820,-1.6,4,-0.3,1.3,N
3,callaway,141.9,151.7,-55,77,103.5,1.34,5486,-1.4,5,-9.7,1.2,Y
23,callaway,148.5,158.2,-39,77.7,106.7,1.37,5436,-1,4,-6,0.9,Y
26,callaway,143.3,161,29,81,103.9,1.28,4380,-1.7,4.5,4.6,1.7,N
25,callaway,147.8,164,17,78.1,103.9,1.33,4074,-1.2,3,2.7,0.9,Y
24,callaway,156.1,166.5,-26,78.3,110.4,1.41,5260,-2.2,3,-3.5,2,Y
31,callaway,156.4,167.5,-13,77.8,109.6,1.41,4944,-2,3.4,-1.9,1.9,Y
10,callaway,156.8,171.2,49,77.6,111.1,1.43,4829,-2,4.6,6.2,1.7,Y
22,callaway,160.6,171.6,6,78,111.5,1.43,4830,-0.6,3.8,0.7,0.4,Y
27,callaway,162.7,175.5,19,78.1,111.5,1.43,4399,-0.8,4,2.3,0.7,Y
